angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.05,0.01,,,"[898, 249, 116, 145]","[267, 295, 90, 113]",,,0.0,0.0,,,0.1,0.01,,,0.02,0.03,,,0.71,0.92,,,0.12,0.03,,,0.0,0.0,,
0.05,0.01,,,"[898, 249, 116, 145]","[267, 295, 90, 113]",,,0.0,0.0,,,0.1,0.01,,,0.02,0.03,,,0.71,0.92,,,0.12,0.03,,,0.0,0.0,,
0.05,0.01,,,"[898, 249, 116, 145]","[267, 295, 90, 113]",,,0.0,0.0,,,0.1,0.0,,,0.02,0.03,,,0.71,0.92,,,0.12,0.03,,,0.0,0.0,,
0.06,0.01,,,"[899, 249, 115, 144]","[266, 295, 91, 114]",,,0.0,0.0,,,0.11,0.01,,,0.03,0.07,,,0.69,0.84,,,0.11,0.06,,,0.01,0.0,,
0.05,0.01,,,"[897, 250, 118, 145]","[266, 295, 91, 114]",,,0.0,0.0,,,0.12,0.01,,,0.02,0.07,,,0.7,0.84,,,0.11,0.06,,,0.0,0.0,,
0.04,0.02,,,"[897, 249, 118, 146]","[266, 297, 91, 112]",,,0.0,0.0,,,0.11,0.01,,,0.03,0.1,,,0.72,0.81,,,0.09,0.06,,,0.0,0.0,,
0.04,0.02,,,"[897, 250, 118, 145]","[266, 297, 90, 111]",,,0.0,0.0,,,0.11,0.01,,,0.02,0.05,,,0.72,0.85,,,0.11,0.07,,,0.0,0.0,,
0.04,0.02,,,"[897, 250, 118, 145]","[266, 297, 90, 111]",,,0.0,0.0,,,0.11,0.01,,,0.02,0.05,,,0.71,0.86,,,0.11,0.06,,,0.0,0.0,,
0.05,0.01,,,"[898, 250, 117, 145]","[267, 297, 90, 113]",,,0.0,0.0,,,0.11,0.01,,,0.02,0.2,,,0.7,0.73,,,0.12,0.05,,,0.0,0.0,,
0.04,0.01,,,"[898, 250, 117, 145]","[267, 297, 90, 111]",,,0.0,0.0,,,0.1,0.02,,,0.02,0.09,,,0.71,0.83,,,0.11,0.05,,,0.0,0.0,,
